MG,55,2021-06-01
MG,50,2021-07-01
MG,35,2021-08-01
MG,25,2021-09-01
MG,18,2021-10-01
SP,40,2021-07-01
SP,37,2021-07-08
SP,35,2021-07-15
SP,30,2021-07-19
SP,25,2021-08-05
SP,18,2021-08-13
RJ,51,2021-06-01
RJ,42,2021-07-01
RJ,33,2021-08-01
RJ,25,2021-09-01
RJ,18,2021-10-01
RS,50,2021-06-22
RS,45,2021-07-01
RS,40,2021-07-16
RS,35,2021-08-01
RS,28,2021-08-16
RS,18,2021-09-01
AC,35,2021-07-01
AL,39,2021-07-06
AL,31,2021-07-31
AL,18,2021-10-31
AP,34,2021-07-07
AM,24,2021-07-06
AM,18,2021-08-31
BA,42,2021-07-04
CE,32,2021-07-06
CE,30,2021-07-26
CE,18,2021-10-31
ES,33,2021-07-06
GO,46,2021-07-06
GO,39,2021-07-27
GO,18,2021-09-30
MA,49,2021-06-21
MA,18,2021-09-30
MT,51,2021-06-15
MS,51,2021-06-07
PA,34,2021-07-06
PA,18,2021-09-30
PB,40,2021-07-01
PB,33,2021-07-31
PR,47,2021-06-25
PR,33,2021-07-21
PR,18,2021-09-30
PE,41,2021-06-29
PE,35,2021-07-31
PI,47,2021-07-05
PI,40,2021-07-30
PI,18,2021-10-31
RO,42,2021-06-22
RO,18,2021-10-30
RN,44,2021-06-29
RN,39,2021-07-01
RN,29,2021-08-01
RN,18,2021-09-01
RR,38,2021-06-09
RR,31,2021-07-17
RR,18,2021-08-30
SC,55,2021-06-04
SC,50,2021-06-14
SC,45,2021-07-01
SC,40,2021-07-16
SC,35,2021-08-01
SC,30,2021-08-22
SC,25,2021-09-12
SC,18,2021-10-01
SE,39,2021-07-02
SE,35,2021-07-12
SE,31,2021-07-31
TO,44,2021-07-06
TO,18,2021-10-31
DF,44,2021-07-07
DF,41,2021-07-12
DF,40,2021-07-17
DF,37,2021-07-25
